iter	Logloss
123	0.2824727688
124	0.2811161251
125	0.2800257038
126	0.2789009767
127	0.2777679393
128	0.2764288095
129	0.2755024976
130	0.2746524654
131	0.2738390213
132	0.2731348077
133	0.2720287187
134	0.2710176858
135	0.270414501
136	0.2694636486
137	0.2687098641
138	0.2682135141
139	0.2673778423
140	0.2666097206
141	0.2658354622
142	0.2650395447
143	0.2642106692
144	0.2634836232
145	0.2628231309
146	0.2619922697
147	0.2612348442
148	0.2604097194
149	0.2596201904
150	0.2588598603
151	0.2579828008
152	0.2572825194
153	0.2562801473
154	0.2555680436
155	0.2546059512
156	0.254171361
157	0.2534846745
158	0.2525503327
159	0.2519151176
160	0.2514133882
161	0.2509647003
162	0.2503345494
163	0.2497146281
164	0.2491816901
165	0.2485598262
166	0.2478289765
167	0.247003278
168	0.2463825014
169	0.2456352332
170	0.2448053156
171	0.2441320528
172	0.2434328057
173	0.2429239461
174	0.242243772
175	0.2415794539
176	0.2410046651
177	0.2405030675
178	0.2401222931
179	0.2395209806
180	0.2391196131
181	0.2386283965
182	0.2381365958
183	0.2375796254
184	0.2371318189
185	0.2363840121
186	0.2358141192
187	0.235222196
188	0.2349111967
189	0.2343364207
190	0.2338158416
191	0.233343085
192	0.2329897914
193	0.2324922033
194	0.2321910891
195	0.2314086145
196	0.2308839794
197	0.230333433
198	0.2301348455
199	0.2296021136
200	0.2291141163
201	0.2286208913
202	0.2282763191
203	0.2279451671
204	0.2275274568
205	0.2270941905
206	0.2266847637
207	0.2262779297
208	0.2259569623
209	0.2255556399
210	0.224980543
211	0.2244400106
212	0.2239424012
213	0.2234101016
214	0.2228993749
215	0.2225960723
216	0.2221663486
217	0.2214262305
218	0.2206646055
219	0.2202861925
220	0.2197035226
221	0.2192819773
222	0.2186630336
223	0.2182541387
224	0.2179430721
225	0.2177871871
226	0.2174427865
227	0.2168988011
228	0.2164318922
229	0.2159111784
230	0.2154699998
231	0.2151794268
232	0.2148098988
233	0.2144477875
234	0.2140111696
235	0.2137480958
236	0.213271425
237	0.2129936275
238	0.2123635602
239	0.2120336003
240	0.2116195672
241	0.2111487199
242	0.2108626745
243	0.2104209052
244	0.2099797901
245	0.2094202132
246	0.2090114211
247	0.2087231474
248	0.2084120074
249	0.2078956178
250	0.2075007104
251	0.2071279759
252	0.2068941133
253	0.2068242524
254	0.2064843751
255	0.2061102713
256	0.2058570499
257	0.2054875205
258	0.2052429073
259	0.2048488801
260	0.2046473818
261	0.2041308851
262	0.2038850144
263	0.2034574152
264	0.2030392238
265	0.2027925288
266	0.2024290429
267	0.2021060274
268	0.2017068616
269	0.2013295754
270	0.2010583427
271	0.200735441
272	0.200533363
273	0.2000624517
274	0.1996369234
275	0.1993036355
276	0.1990976661
277	0.1988394872
278	0.1985700059
279	0.1982229766
280	0.1979053589
281	0.1976262703
282	0.1973782377
283	0.1970183987
284	0.1966617657
285	0.1963846001
286	0.1959604971
287	0.1956158741
288	0.1952710834
289	0.1950445753
290	0.194823767
291	0.194317957
292	0.1940329094
293	0.1937536852
294	0.1935642131
295	0.1932521919
296	0.1929086591
297	0.1927196316
298	0.1924047337
299	0.1920587585
300	0.191706847
301	0.191414853
302	0.1909367697
303	0.1906242939
304	0.1903674266
305	0.1899318254
306	0.1895871835
307	0.1891643783
308	0.1889080328
309	0.188610878
310	0.188343496
311	0.188030506
312	0.1878045819
313	0.1876050814
314	0.1873849382
315	0.1871946943
316	0.1869339166
317	0.1866892512
318	0.1863723925
319	0.186138027
320	0.1859938662
321	0.1856731193
322	0.1854841339
323	0.1852831968
324	0.1850952827
325	0.1848135203
326	0.1844987893
327	0.1842971497
328	0.1838744701
329	0.1836288136
330	0.1834109095
331	0.1831364518
332	0.1828574959
333	0.1827039666
334	0.1823207782
335	0.182081479
336	0.1818561265
337	0.1815716585
338	0.1812231863
339	0.1810165011
340	0.1808325567
341	0.1806344474
342	0.1803471303
343	0.1800224852
344	0.1798449966
345	0.1796554154
346	0.1794746017
347	0.1791509805
348	0.1789099379
349	0.1787407303
350	0.1784076174
351	0.1781428903
352	0.1779089145
353	0.1776090299
354	0.1773511946
355	0.1770068912
356	0.1767635582
357	0.1765938118
358	0.1764547289
359	0.1760944955
360	0.1758755192
361	0.1756630792
362	0.1754517712
363	0.1752534031
364	0.1750823352
365	0.1749100292
366	0.1746733791
367	0.1743441045
368	0.1741381374
369	0.1738134748
370	0.1735274583
371	0.1731466854
372	0.172908007
373	0.172718842
374	0.1725667561
375	0.1723116207
376	0.1720385779
377	0.171715005
378	0.1713307027
379	0.1711041814
380	0.1708793446
381	0.1705949051
382	0.17043543
383	0.1702313352
384	0.1700656793
385	0.1698196204
386	0.1696521316
387	0.1693887374
388	0.1692390205
389	0.1690102226
390	0.1689111547
391	0.1688294747
392	0.1685872547
393	0.1683947571
394	0.1681127269
395	0.1678752141
396	0.1676462782
397	0.1674049536
398	0.1672727848
399	0.1670631988
400	0.166887088
401	0.1666903093
402	0.1664009203
403	0.1662606093
404	0.1659285065
405	0.1657004328
406	0.1655612437
407	0.1653555406
408	0.1650810261
409	0.164923785
410	0.1647878001
411	0.1646072168
412	0.1644293466
413	0.1642430563
414	0.1640042453
415	0.1637051717
416	0.1635407771
417	0.1633725607
418	0.1632116358
419	0.1629355812
420	0.1628095516
421	0.1627116398
422	0.162484798
423	0.1624300736
424	0.1622091491
425	0.1620112437
426	0.1618571803
427	0.1616996093
428	0.1615390228
429	0.1613770754
430	0.1610955969
431	0.1608855468
432	0.1606213208
433	0.1604018709
434	0.1600723456
435	0.1598643901
436	0.15968074
437	0.1595006529
438	0.159366109
439	0.1591912126
440	0.1590251193
441	0.1589396834
442	0.158791889
443	0.1585622118
444	0.1583295959
445	0.1581707579
446	0.1579939817
447	0.1576811902
448	0.1573783508
449	0.1571824887
450	0.1570365045
451	0.1567925852
452	0.1566628177
453	0.1565166363
454	0.1563191286
455	0.1561160827
456	0.1559496959
457	0.1557671242
458	0.1555170657
459	0.1553864166
460	0.1551903057
461	0.1549780355
462	0.1548401816
463	0.154621284
464	0.1544699972
465	0.1541994561
466	0.1540614596
467	0.1538744655
468	0.1536795226
469	0.1535921301
470	0.1534756363
471	0.1534026494
472	0.1532166061
473	0.1530787087
474	0.1528550256
475	0.1527542343
476	0.1525957134
477	0.1523256373
478	0.1521461574
479	0.1519822017
480	0.1517985256
481	0.15167491
482	0.1515602582
483	0.1514066076
484	0.1512741535
485	0.1511272867
486	0.1508946314
487	0.1507089337
488	0.1505331026
489	0.1504162657
490	0.1501873132
491	0.1500138871
492	0.1498272841
493	0.1497370254
494	0.1496060084
495	0.1494480611
496	0.1492918846
497	0.1490959339
498	0.1489263832
499	0.1487992232
500	0.148559139
501	0.148391098
502	0.1482607806
503	0.148125038
504	0.1480648015
505	0.147809587
506	0.147636306
507	0.147559839
508	0.1474241812
509	0.1471918241
510	0.1470285036
511	0.14689841
512	0.1466718578
513	0.1464781723
514	0.1463703431
515	0.1462257771
516	0.146062749
517	0.145926814
518	0.1458613086
519	0.1456142832
520	0.1453289232
521	0.1451422609
522	0.1450336776
523	0.14488175
524	0.1446899752
525	0.144567637
526	0.1444126417
527	0.1443683229
528	0.1441001134
529	0.1438689554
530	0.1437514601
531	0.1435308215
532	0.1433886339
533	0.1432572075
534	0.1431673346
535	0.1430594409
536	0.1428609406
537	0.1426950667
538	0.1425751929
539	0.1424031679
540	0.1422816219
541	0.1420874795
542	0.1419731954
543	0.141839473
544	0.1417478098
545	0.1415041958
546	0.1413878143
547	0.1412840473
548	0.1411397912
549	0.1410002528
550	0.140863056
551	0.140789287
552	0.1406556479
553	0.1405330496
554	0.1404229457
555	0.1402735838
556	0.1402084998
557	0.1400861783
558	0.1398473971
559	0.1397895007
560	0.1396749494
561	0.1395922399
562	0.1393521169
563	0.1392449427
564	0.1390672792
565	0.1389549357
566	0.1388184261
567	0.138737095
568	0.1385766498
569	0.1384560654
570	0.1382612334
571	0.1381622295
572	0.1379477646
573	0.1376977005
574	0.1375740537
575	0.1374340038
576	0.1373012037
577	0.1372113294
578	0.1371313772
579	0.136930159
580	0.1367149012
581	0.136577464
582	0.1364487
583	0.1363201644
584	0.1361799302
585	0.1359743892
586	0.1359359303
587	0.1358175036
588	0.1357715964
589	0.1356278447
590	0.1355115514
591	0.1353727828
592	0.1352515097
593	0.1350619276
594	0.1349083382
595	0.1347430056
596	0.134573051
597	0.1344294245
598	0.1343363071
599	0.1341252464
600	0.1340129883
601	0.1338502764
602	0.133743962
603	0.1336724768
604	0.1334935908
605	0.1333376352
606	0.1331278771
607	0.1329777644
608	0.1328988573
609	0.1326676045
610	0.1324897647
611	0.1323579955
612	0.1322584655
613	0.1320845597
614	0.1319488256
615	0.1317501272
616	0.1316313568
617	0.131360082
618	0.1313119845
619	0.1311254345
620	0.1310097925
621	0.1308847772
622	0.1307942332
623	0.1306205786
624	0.1305736462
625	0.130509077
626	0.130361639
627	0.130202728
628	0.1300368835
629	0.1299288974
630	0.1297629273
631	0.1296340599
632	0.1295409416
633	0.1294479887
634	0.1293668448
635	0.1292875188
636	0.1291620741
637	0.1290389785
638	0.1288717646
639	0.1287357712
640	0.1286018961
641	0.1284951472
642	0.128407019
643	0.1282302959
644	0.1281409121
645	0.1280456973
646	0.1279241991
647	0.1277872966
648	0.1276782659
649	0.1275724128
650	0.1274158831
651	0.1273083426
652	0.1271580564
653	0.1270716233
654	0.1269581953
655	0.1267446263
656	0.1265742731
657	0.1264752598
658	0.1263452567
659	0.1262096259
660	0.126086692
661	0.1259287579
662	0.1257851053
663	0.1257153932
664	0.1255489661
665	0.1253991212
666	0.1252705098
667	0.1250915309
668	0.1249774986
669	0.1248460347
670	0.124747811
671	0.1245928195
672	0.1244699505
673	0.1243308406
674	0.124229351
675	0.124131944
676	0.1240523833
677	0.1239541402
678	0.1238315603
679	0.1236933093
680	0.1235747764
681	0.1234810021
682	0.1233063626
683	0.1231984836
684	0.1230003341
685	0.1228698627
686	0.1227772321
687	0.1225911632
688	0.1224498995
689	0.1223639982
690	0.12226674
691	0.1220557069
692	0.1219882112
693	0.1218892424
694	0.121792999
695	0.1215837722
696	0.1214378349
697	0.1212707675
698	0.1211524678
699	0.1210405751
700	0.1208502535
701	0.1206749163
702	0.1206056555
703	0.1204416614
704	0.1202851304
705	0.1201525351
706	0.1200625612
707	0.1200018247
708	0.119923958
709	0.1198143713
710	0.1196635367
711	0.1195404629
712	0.1194079098
713	0.1193292672
714	0.1192414874
715	0.1191732258
716	0.1190637357
717	0.1189228692
718	0.1188562177
719	0.1187197939
720	0.1186515223
721	0.1185096111
722	0.1183963258
723	0.1183133353
724	0.1181936193
725	0.1180906784
726	0.117986772
727	0.1177816396
728	0.1177046839
729	0.1176195287
730	0.1174566068
731	0.1173467755
732	0.1172289564
733	0.1170588469
734	0.1169506375
735	0.1168209193
736	0.1167125768
737	0.1166123429
738	0.1164850572
739	0.1164215298
740	0.1163447884
741	0.1162576192
742	0.1161630884
743	0.1160266124
744	0.1159509115
745	0.1158115475
746	0.1157038804
747	0.1156402028
748	0.1155781476
749	0.1155432124
750	0.1154199277
751	0.1153566093
752	0.1152687011
753	0.115180947
754	0.1150802078
755	0.1149714462
756	0.1148522777
757	0.1146791455
758	0.1145853721
759	0.1144979341
760	0.1143964086
761	0.1142607555
762	0.1141835065
763	0.1140737685
764	0.1139786049
765	0.1138003934
766	0.1137201772
767	0.1135742641
768	0.1134603697
769	0.1133358498
770	0.1132614636
771	0.1131462719
772	0.1131004538
773	0.1130025899
774	0.1129364764
775	0.1128372378
776	0.1127817716
777	0.1126801276
778	0.1125759642
779	0.1124868905
780	0.1123438687
781	0.1122698305
782	0.1121920245
783	0.1120683621
784	0.1119742654
785	0.1118349555
786	0.1116855405
787	0.1115413651
788	0.1114122697
789	0.1112436196
790	0.1111757281
791	0.1110640568
792	0.1109721703
793	0.1108701054
794	0.1107672114
795	0.1106652612
796	0.1105459561
797	0.1104589419
798	0.1103269077
799	0.1102761952
800	0.1101769496
801	0.1100759701
802	0.1099791162
803	0.1099141312
804	0.1098157383
805	0.1097210496
806	0.1096186652
807	0.1095329639
808	0.1094240299
809	0.1093173274
810	0.1091937393
811	0.1091443497
812	0.1090419904
813	0.1089251041
814	0.108882376
815	0.1087573233
816	0.1086182718
817	0.1085659538
818	0.1084528415
819	0.1083117925
820	0.1082245777
821	0.1080377694
822	0.1079394168
823	0.1078576515
824	0.1077360178
825	0.1076204379
826	0.1075357613
827	0.1074104864
828	0.1073092741
829	0.1071781287
830	0.1070096953
831	0.1069670752
832	0.106831608
833	0.1067355063
834	0.1066483342
835	0.1065588595
836	0.1064478593
837	0.1063635458
838	0.1063144032
839	0.1062204511
840	0.1061446852
841	0.1060780815
842	0.1060377239
843	0.105949418
844	0.1058721685
845	0.105774742
846	0.1056870343
847	0.1055560292
848	0.1054430776
849	0.10534219
850	0.1052516573
851	0.1051671898
852	0.1050565399
853	0.1049526245
854	0.1048164946
855	0.1047386308
856	0.1046603669
857	0.1045548703
858	0.1044676764
859	0.1043924565
860	0.104292971
861	0.1042049258
862	0.1041426886
863	0.1040250615
864	0.1039773949
865	0.1039305767
866	0.1038271561
867	0.1037674898
868	0.1036919163
869	0.10359529
870	0.1035062722
871	0.1033809275
872	0.1032351026
873	0.1031089976
874	0.1029857878
875	0.1028773846
876	0.1027963441
877	0.1026555406
878	0.1025597371
879	0.1024959377
880	0.1023853778
881	0.1023276255
882	0.1022521326
883	0.1021622768
884	0.1021027821
885	0.102025635
886	0.1019680173
887	0.1018819951
888	0.1017930531
889	0.101710931
890	0.1015864262
891	0.1015043098
892	0.1014074236
893	0.1013552341
894	0.1012568569
895	0.1011902836
896	0.1011026062
897	0.101044724
898	0.1009544141
899	0.1008763332
900	0.1007926128
901	0.100637944
902	0.100552193
903	0.1004848613
904	0.1004200806
905	0.1003388316
906	0.1001917809
907	0.1001028417
908	0.1000442581
909	0.09997564092
910	0.09989696943
911	0.09985712177
912	0.09977347524
913	0.0997145503
914	0.09963079854
915	0.09955143218
916	0.09947459693
917	0.09938813299
918	0.09927722995
919	0.09916286298
920	0.09905011896
921	0.09894045873
922	0.09883613662
923	0.09877995042
924	0.09870945246
925	0.09861523209
926	0.09850764132
927	0.09842879445
928	0.09836837075
929	0.09827658291
930	0.09822491765
931	0.09815297591
932	0.09806706085
933	0.09795358404
934	0.09789238488
935	0.09781061821
936	0.09771472844
937	0.09760021737
938	0.09750406121
939	0.09734646226
940	0.09728907591
941	0.09720243659
942	0.09713496271
943	0.09704027119
944	0.09692657255
945	0.09686967345
946	0.09678259048
947	0.09668747142
948	0.09659257608
949	0.09652889604
950	0.09641865755
951	0.09633038106
952	0.09622792932
953	0.09610708002
954	0.09604287195
955	0.09598421624
956	0.09583661191
957	0.09580388837
958	0.09568469425
959	0.09562538348
960	0.09555379629
961	0.09548903934
962	0.09541316819
963	0.09533182338
964	0.09523851213
965	0.09517921179
966	0.09508709974
967	0.09501588131
968	0.09495561403
969	0.0948902788
970	0.09482586502
971	0.09479706709
972	0.09471501982
973	0.0946483631
974	0.09455914147
975	0.09448256218
976	0.09441150301
977	0.09429985771
978	0.09424295103
979	0.09414786041
980	0.09408106908
981	0.09404399428
982	0.09392628755
983	0.09388248679
984	0.0938436857
985	0.09378377865
986	0.09367421512
987	0.09360567855
988	0.09357570322
989	0.09349242356
990	0.09342474776
991	0.09338785972
992	0.09331121407
993	0.09326569081
994	0.09317931314
995	0.09309305775
996	0.09305794813
997	0.09296489662
998	0.09290213613
999	0.09282259059
