"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.669459171047583E9	"2022-11-26 14:39:31.048 UTC+04:00"
"PAUSE"	1.059174116665963E1	1.669459181639315E9	"2022-11-26 14:39:41.639 UTC+04:00"
